station_name_en,station_name_th,latitude,longitude,id
11th Infantry Regiment,กรมทหารราบที่ 11,13.86755996,100.5918953,1
Ancient City,เมืองโบราณ,,,2
Ari,อารีย์,13.77985028,100.5446531,3
Asok,อโศก,13.73704787,100.5603549,4
Ban Chimpli,บ้านฉิมพลี,,,5
Ban Kluai Tai,บ้านกล้วยใต้,,,6
Ban Ma,บ้านม้า,,,7
Ban Thap Chang,บ้านทับช้าง,13.73282618,100.6913061,8
Bang Bamru,บางบำหรุ,13.79170674,100.4776743,9
Bang Bon,บางบอน,,,10
Bang Bua,บางบัว,13.85597345,100.5851115,11
Bang Chak,บางจาก,13.69673557,100.6052246,12
Bang Chan,บางชัน,13.8127449,100.7029364,13
Bang Kapi,บางกะปิ,13.7685195,100.6392831,14
Bang Khae,บางแค,13.71194125,100.4223819,15
Bang Khen,บางเขน,13.84696561,100.5607408,16
Bang Khun Non,บางขุนนนท์,13.76322858,100.4732075,17
Bang Khun Phrom,บางขุนพรม,,,18
Bang Krasor,บางกระสอ,13.86169155,100.504486,19
Bang Kruai-EGAT,บางกรวย-กฟผ,,,20
Bang Na,บางนา,13.66814729,100.6047186,21
Bang Nam Chuet,บางน้ำจืด,,,22
Bang O,บางอ้อ,13.79901673,100.5096999,23
Bang Pakaeo,บางปะแก้ว,,,24
Bang Pakok,บางปะกอก,,,25
Bang Phai,บางไผ่,13.72459435,100.4651747,26
Bang Phlat,บางพลัด,13.79255197,100.5050425,27
Bang Phlu,บางพลู,13.87572623,100.4338654,28
Bang Pho,บางโพ,13.80646721,100.5210402,29
Bang Pu,บางปู,,,30
Bang Rak Noi Tha It,บางรักน้อยท่าอิฐ,13.87479655,100.4559496,31
Bang Rak Yai,บางรักใหญ่,13.87660559,100.4449095,32
Bang Son,บางซ่อน,13.82033224,100.5324967,33
Bang Sue,บางซื่อ,13.80312385,100.5391893,34
Bang Wa,บางหว้า,13.72039546,100.4571675,35
Bang Yi Khan,บางยี่ขัน,13.77753717,100.485243,36
Bangkok University-Rangsit,มหาวิทยาลัยกรุงเทพฯ-รังสิต,,,37
Bearing,แบริ่ง,13.66133924,100.6019284,38
Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพลอดุลยเดช,13.91070517,100.6173433,39
Chaeng Watthana 14,แจ้งวัฒนะ 14,13.89321023,100.56019,40
Chaeng Watthana-Pak Kret 28,แจ้งวัฒนะ-ปากเกร็ด 28,13.90412554,100.5293217,41
Cham Chan,แจ่มจันทร์,,,42
Chang Erawan,ช้างเอราวัณ,13.62153309,100.5902021,43
Charan 13,จรัญฯ 13,13.7403604,100.4706533,44
Charoen Krung,เจริญกรุง,,,45
Charoen Nakhorn,เจริญนคร,13.72652947,100.5089743,46
Charoen Rat,เจริญราษฎร์,,,47
Chatuchak,จตุจักร,13.82652595,100.5493932,48
Chatuchak Park,สวนจตุจักร,13.80213175,100.5530476,49
Chiang Rak,เชียงราก,,,50
Chinnakhet,ชินเขต,,,51
Chit Lom,ชิดลม,13.74408069,100.5430873,52
Chok Chai 4,โชคชัย 4,13.7947961,100.5939758,53
Chom Thong,จอมทอง,,,54
Chong Nonsi,ช่องนนทรี,13.7237111,100.5294617,55
Criminal Court,ศาลอาญา,,,56
Dao Khanong,ดาวคะนอง,,,57
Democracy Monument,อนุเสาวรีย์ประชาธิปไตย,,,58
Din Daeng,ดินแดง,,,59
Don Muang,ดอนเมือง,13.91507215,100.5979559,60
Ekkachai,เอกชัย,,,61
Ekkamai,เอกมัย,13.71955685,100.5850876,62
Fai Chai,ไฟฉาย,13.75513012,100.469225,63
Government Complex,ศูนย์ราชการเฉลิมพระเกียรติ,13.89066123,100.5674277,64
Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,13.81641185,100.5619534,65
Hua Lamphong,หัวลำโพง,13.73783973,100.5171627,66
Hua Mak,หัวหมาก,13.7363659,100.6405146,67
Huai Khwang,ห้วยขวาง,13.77852705,100.5736394,68
Impact Muang Thong Thani,อิมแพ็คเมืองทองธานี,13.91040643,100.5442931,69
Inthrarak,อินทรารักษ์,,,70
Itsaraphap,อิสรภาพ,13.73832048,100.4852921,71
Kalantan,กลันตัน,13.725107,100.6412087,72
Kamphaeng Phet,กำแพงเพชร,13.79809541,100.5475954,73
Kan Kheha,การเคหะ,13.89861755,100.5890021,74
Kanchanaphisek,กาญจนาภิเษก,,,75
Kasem Rat Junction,แยกเกษมราษฎร์,,,76
Kaset Nawamin,เกษตรนวมินทร์,,,77
Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,13.84237073,100.577111,78
Khae Rai,แคราย,13.86256369,100.5207597,79
Kheha,เคหะฯ,13.56766421,100.6077781,80
Kheha Ramkhamhaeng,เคหะรามคำแหง,,,81
Khlong 3,คลองสาม,,,82
Khlong 4,คลองสี่,,,83
Khlong 5,คลองห้า,,,84
Khlong Bang Phai,คลองบางไผ่,13.89253436,100.4082496,85
Khlong Dan,คลองด่าน,,,86
Khlong Lamchiak,คลองลำเจียก,,,87
Khlong Neung,คลองหนึ่ง,,,88
Khlong Phum,คลองภูมิ,,,89
Khlong San,คลองสาน,13.73045608,100.5076094,90
Khlong Toei,คลองเตย,13.72233526,100.5539195,91
Khok Khwai,คอกควาย,,,92
Khong Bang Bua,คลองบางบัว,,,93
Khru Nai,ครุใน,,,94
Khu Bon,คู้บอน,13.84058691,100.6588676,95
Khu Khot,คูคต,13.93235302,100.6466286,96
Kluai Namthai,กล้วยน้ำไท,,,97
Krung Thon Buri,กรุงธนบุรี,13.72084312,100.5027149,98
Lak Hok,หลักหก,13.96583148,100.6053144,99
Lak Si,หลักสี่,13.88403677,100.5826498,100
Lak Song,หลักสอง,13.7109686,100.4099721,101
Lan Luang,หลานหลวง,,,102
Lat Krabang,ลาดกระบัง,13.7278904,100.7486236,103
Lat Phrao,ลาดพร้าว,13.806243,100.5739567,104
Lat Phrao 101,ลาดพร้าว 101,13.7742562,100.6293822,105
Lat Phrao 71,ลาดพร้าว 71,13.7870774,100.6066396,106
Lat Phrao 83,ลาดพร้าว 83,13.7858561,100.6127671,107
Lat Phrao 87,ลาดพร้าว 87,,,108
Lat Pla Khao,ลาดปลาเค้า,13.86271836,100.6178443,109
Lumphini,ลุมพินี,13.72577127,100.5456769,110
Lumpini,ลุมพินี,,,111
MRTA,รฟม.,,,112
Maha Chai,มหาชัย,,,113
Mahaisawan,มไหสวรรย์,,,114
Mahat Thai,มหาดไทย,13.777466,100.6236095,115
Maiyalap,มัยลาภ,13.85494116,100.6322464,116
Makkasan,มักกะสัน,13.75103218,100.5612032,117
Memorial Bridge,สะพานพุทธ,,,118
Min Buri,มีนบุรี,13.80846756,100.7326906,119
Min Buri Market,ตลาดมีนบุรี,13.81253156,100.7258534,120
Ministry of Public Health,กระทรวงสาธารณสุข,13.84867734,100.5146738,121
Mo Chit,หมอชิต,13.8027276,100.5538694,122
Muang Thong Thani,เมืองทองธานี,13.89732245,100.5485094,123
Muang Thong Thani Lake,ทะเลสาบเมืองทองธานี,13.91830925,100.5456585,124
Nana,นานา,13.74053723,100.5554754,125
Nang Linchi,นางลิ้นจี่,,,126
Naradhiwas,นราธิวาสฯ,,,127
National Library,หอสมุดแห่งชาติ,,,128
National Stadium,สนามกีฬาแห่งชาติ,13.7467374,100.529049,129
National Telecom,โทรคมนาคมแห่งชาติ,13.88746423,100.5758067,130
Nationnal Housing Authority,การเคหะแห่งชาติ,,,131
Nawa Si,นวศรี,,,132
Nawamin Junction,แยกนวมินทร์,,,133
Nawaminphirom Park,สวนนวมินทร์ภิรมย์,,,134
Ngam Duphli,งามดูพลี,,,135
Ngam Wong Wan 18,งามวงศ์วาน 18,,,136
Ngam Wong Wan 2,งามวงศ์วาน 2,,,137
Ngam Wong Wan 48,งามวงศ์วาน 48,,,138
Nom Klao,น้อมเกล้า,,,139
Nonthaburi Civic Center,ศูนย์ราชการนนทบุรี,13.85985804,100.5181098,140
Nopparat,นพรัตน์,13.81657174,100.6856251,141
Nuanchan,นวลจันทร์,,,142
On Nut,อ่อนนุช,13.70563696,100.6010277,143
Outer Ring Road - Lam Luk Ka,วงแหวน-ลำลูกกา,,,144
Outer Ring Road - Ram Inthra,วงแหวนรามอินทรา,13.8245027,100.6772076,145
Pak Kret Bypass,เลี่ยงเมืองปากเกร็ด,13.90644224,100.5156586,146
Pak Nam,ปากน้ำ,13.60211662,100.5971519,147
Parliament House,รัฐสภา,,,148
Petchaburi-Thong Lo,เพชรบุรี-ทองหล่อ,,,149
Phahon Yothin,พหลโยธิน,13.81434869,100.5601448,150
Phahon Yothin 24,พหลโยธิน 24,13.82403179,100.5663319,151
Phahon Yothin 59,พหลโยธิน 59,13.88259699,100.600773,152
Phasi Charoen,ภาษีเจริญ,13.71288542,100.4341567,153
Phawana,ภาวนา,13.8008184,100.583504,154
Phaya Thai,พญาไท,13.75677853,100.5348391,155
Phetchaburi,เพชรบุรี,13.74868501,100.5631611,156
Phetkasem 48,เพชรเกษม 48,13.71550917,100.4456044,157
Phloen Chit,เพลินจิต,13.74305844,100.5490357,158
Pho Nimit,โพธิ์นิมิตร,13.71925298,100.4860682,159
Phokaew,โพธิ์แก้ว,,,160
Phra Khanong,พระโขนง,13.71523481,100.5912765,161
Phra Nang klao Bridge,สะพานพระนั่งเกล้า,13.8703241,100.4803656,162
Phra Pradaeng,พระประแดง,,,163
Phra Ram 3,พระรามที่ 3,,,164
Phra Ram 9,พระราม 9,13.75791625,100.5655452,165
Phra Ram 9 Bridge,สะพานพระราม 9,,,166
Phraek Sa,แพรกษา,13.58432495,100.607975,167
Phrom Daen,พรมแดน,,,168
Phrom Phong,พร้อมพงศ์,13.73045553,100.5696996,169
Phutthamonthon 2,พุทธมณฑลสาย 2,,,170
Phutthamonthon 3,พุทธมณฑลสาย 3,,,171
Phutthamonthon 4,พุทธมณฑลสาย 4,,,172
Pracha Songkhro,ประชาสงเคราะห์,,,173
Pradit Manutham 25,ประดิษฐ์มนูญธรรม 25,,,174
Prasert Manukitch – Lat Pla Khao,ประเสริฐมนูกิจ – ลาดปลาเค้า,,,175
Pratunam,ประตูน้ำ,,,176
Pu Chao,ปู่เจ้า,13.63724629,100.5920546,177
Punnawithi,ปุณณวิถี,13.68924559,100.6090509,178
Queen Sirikit National,ศูนย์การประชุมแห่งชาติสิริกิติ์,13.72315611,100.5601051,179
Queen Sirikit National Covention Centre,ศูนย์การประชุมแห่งชาติสิริกิติ์,,,180
Rajabhat Phranakorn,ราชภัฏพระนคร,13.87987061,100.5893234,181
Ram Inthra 3,รามอินทรา 3,13.87089249,100.6026345,182
Ram Inthra Kor Mor 4,รามอินทรา กม. 4,13.85823847,100.6261357,183
Ram Inthra Kor Mor 6,รามอินทรา กม. 6,13.84520449,100.6503313,184
Ram Inthra Kor Mor 9,รามอินทรา กม. 9,13.83381525,100.6675569,185
Ram Khamhaeng 12,รามคำแหง 12,,,186
Ram Khamhaeng 34,รามคำแหง 34,,,187
Ram Khamhaeng University,ม.รามคำแหง,,,188
Rama VI Bridge,สะพานพระราม 6,,,189
Ramkhamhaeng,รามคำแหง,13.74298957,100.6001476,190
Rang Pho,รางโพธิ์,,,191
Rang Sakae,รางสะแก,,,192
Rangsit,รังสิต,13.99065039,100.602157,193
Rat Burana,ราษฎร์บูรณะ,,,194
Rat Phatthana,ราษฏร์พัฒนา,,,195
Ratchada-Naradhiwas,รัชดา-นราธิวาส,,,196
Ratchadamri,ราชดำริ,13.73945684,100.5394348,197
Ratchadaphisek,รัชดาภิเษก,13.79915789,100.5746119,198
Ratchaprarop,ราชปรารภ,13.75510533,100.5421521,199
Ratchathewi,ราชเทวี,13.75207562,100.5315714,200
Ratchawithi,ราชวิถี,,,201
Ratchayothin,รัชโยธิน,13.82976184,100.569629,202
Royal Forest Department,กรมป่าไม้,13.85039048,100.5817693,203
Royal Irrigation Department,กรมชลประทาน,13.89867367,100.5071269,204
Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,13.91794885,100.6216541,205
Royal Thai Naval Academy,โรงเรียนนายเรือ,13.60845311,100.5949343,206
SAT,กกท.,,,207
Sai Luat,สายลวด,13.57771156,100.6054492,208
Sai Ma,ไทรม้า,13.87050059,100.4666311,209
Sai Yud,สายหยุด,13.88844049,100.604197,210
Saint Louis,เซนต์หลุยส์,13.72092969,100.5268975,211
Sala Daeng,ศาลาแดง,13.72845579,100.5340886,212
Sala Thammasop,ศาลาธรรมสพน์,,,213
Salaya,ศาลายา,,,214
Sam Sen,สามเสน,,,215
Sam Yaek,สามแยก,,,216
Sam Yaek Bang Yai,สามแยกบางใหญ่,13.87456616,100.4194113,217
Sam Yan,สามย่าน,13.73234822,100.5299815,218
Sam Yot,สามยอด,13.74715729,100.5022257,219
Samakkhi,สามัคคี,13.88925494,100.5106405,220
Sammakon,สัมมากร,,,221
Samre,สำเหร่,,,222
Samrong,สำโรง,13.6448878,100.5954185,223
Sanam Chai,สนามไชย,13.74394426,100.4945866,224
Sanam Luang,สนามหลวง,,,225
Sanam Pao,สนามเป้า,13.77264449,100.5421253,226
Sanambin Nam,สนามบินน้ำ,13.87424336,100.5163026,227
Sangkhom Songkhro,สังคมสงเคราะห์,,,228
Saphan Khwai,สะพานควาย,13.79380459,100.5497505,229
Saphan Mai,สะพานใหม่,13.89660637,100.6090666,230
Saphan Taksin,สะพานตากสิน,13.71881539,100.5141108,231
Sathu Pradit,สาธุประดิษฐ์,,,232
Satri Witthaya 2 School,โรงเรียนสตรีวิทยา 2,,,233
Sawang Khaniwat,สวางคนิวาส,,,234
Sena Nikhom,เสนานิคม,13.83635368,100.573518,235
Sena Niwet,เสนานิเวศน์,,,236
Sena Ruam,เสนาร่วม,,,237
Setthabutbamphen,เศรษฐบุตรบำเพ็ญ,13.81271572,100.7126403,238
Si Bearing,ศรีแบริ่ง,13.6437622,100.6354272,239
Si Burapha,ศรีบูรพา,,,240
Si Dan,ศรีด่าน,13.6328156,100.6298121,241
Si Iam,ศรีเอี่ยม,13.6679833,100.6442547,242
Si Kritha,ศรีกรีฑา,13.7511665,100.6442109,243
Si La Salle,ศรีลาซาล,13.656814,100.6417616,244
Si Lom,สีลม,13.72926025,100.5365456,245
Si Nut,ศรีนุช,13.7105064,100.6430594,246
Si Rat,ศรีรัช,13.90048702,100.5400668,247
Si Thepha,ศรีเทพา,13.6300359,100.6219801,248
Si Udom,ศรีอุดม,13.676179,100.6455089,249
Si Wara,ศรีวรา,,,250
Si Yan,ศรีย่าน,,,251
Siam,สยาม,13.74561143,100.5341474,252
Sirindhorn,สิรินธร,13.78406434,100.4934785,253
Siriraj,ศิริราช,,,254
Srichanpradit,ศรีจันทร์ประดิษฐ์,,,255
Srinagarindra,ศรีนครินทร์,13.59205817,100.608983,256
Srinagarindra 38,ศรีนครินทร์ 38,13.7008468,100.645618,257
Suan Luang Rama IX,สวนหลวง ร.9,13.6915082,100.6464626,258
Suan Phlu,สวนพลู,,,259
Sukhumvit,สุขุมวิท,13.73855034,100.5614557,260
Surasak,สุรศักดิ์,13.71921117,100.5214964,261
Sutthisan,สุทธิสาร,13.78973963,100.5742003,262
Suvarnabhumi,สุวรรณภูมิ,13.69790742,100.7522493,263
Talad Bang Yai,ตลาดบางใหญ่,13.88112798,100.4092513,264
Talat Phlu,ตลาดพลู,13.71422607,100.4768081,265
Talat Phlu (North),ตลาดพลู (เหนือ),,,266
Taling Chan,ตลิ่งชัน,13.78934932,100.4400187,267
Taling Chan District Office,สำนักงานเขตตลิ่งชัน,,,268
Tamru,ตำหรุ,,,269
Tao Poon,เตาปูน,13.80621259,100.530759,270
Tha Phra,ท่าพระ,13.72969778,100.4741528,271
Thailand Cultural Centre,ศูนย์วัฒธรรมแห่งประเทศไทย,13.76627655,100.5702328,272
Thammasat University-Rangsit,มหาวิทยาลัยธรรมศาสตร์-รังสิต,,,273
Thawiwatthana,ทวีวัฒนา,,,274
Thipphawan,ทิพวัล,13.6366155,100.6085606,275
Thong Lo,ทองหล่อ,13.72435715,100.5784291,276
Thong Lo 10,ทองหล่อ 10,,,277
Thung Si Thong,ทุ่งสีทอง,,,278
Thung Song Hong,ทุ่งสองห้อง,13.86020462,100.5673919,279
Udom Suk,อุดมสุข,13.67991899,100.6095904,280
Vajira Hospital,วชิรพยาบาล,,,281
Vatcharaphol,วัชรพล,13.84921714,100.6429768,282
Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,13.7628712,100.5370477,283
Wat Bang Pheng,วัดบางเพ็ง,,,284
Wat Mangkon,วัดมังกร,13.74201328,100.5101788,285
Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.8746635,100.5970094,286
Wat Phraram Kao,วัดพระราม 9,,,287
Wat Sai,วัดไทร,,,288
Wat Samian Nari,วัดเสมียนนารี,13.84168597,100.5575223,289
Wat Sing,วัดสิงห์,,,290
Wong Sawang,วงศ์สว่าง,13.83006051,100.5264559,291
Wongwian Yai,วงเวียนใหญ่,13.72108781,100.4953148,292
Wutthakat,วุฒากาศ,13.71307476,100.4689102,293
Yaek Kor Por Aor,แยก คปอ.,13.92502233,100.6259235,294
Yaek Lam Sali,แยกลำสาลี,13.7608687,100.6444074,295
Yaek Nonthaburi 1,แยกนนทบุรี 1,13.86581435,100.4946124,296
Yaek Pak Kret,แยกปากเกร็ด,13.90620168,100.5055105,297
Yaek Pracha Uthit,แยกประชาอุทิศ,,,298
Yaek Rom Klao,แยกร่มเกล้า,,,299
Yaek Tiwanon,แยกติวานนท์,13.83957886,100.5148801,300
Yannawa,ยานนาวา,,,301
Yommarat,ยมราช,,,302
Yossae,ยศเส,,,303
Yothin Phattana,โยธินพัฒนา,,,304
Yu Yen,อยู่เย็น,,,305
